CODIGO,DISTRITO,DEPARTAMENTO,MUNICIPIO,ESTABLECIMIENTO,DIRECCION,SUPERVISOR,DIRECTOR,NIVEL,SECTOR,AREA,STATUS,MODALIDAD,JORNADA,PLAN,DEPARTAMENTAL,TELEFONO_1,TELEFONO_2
00-09-8893-46,01-505,GUATEMALA,ZONA 9,LICEO JUVENIL GUATEMALTECO,6A. CALLE 3-45,MARIA TERESA MILIAN AVILES,ISABEL YOLANDA MÉNDEZ GIRÓN,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),GUATEMALA ORIENTE,23322023,
00-10-0007-46,01-503,GUATEMALA,ZONA 10,COLEGIO CENTRO DE ESTUDIOS AMERICANO,6A. AVENIDA 0-18,NANCY CAROLINA NAVAS GONZÁLEZ,JOSÉ FRANCISCO BALLESTEROS GUZMÁN,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),GUATEMALA ORIENTE,23316922,
00-10-0015-46,01-503,GUATEMALA,ZONA 10,COLEGIO LA ACADEMIA,13 CALLE 6-91,NANCY CAROLINA NAVAS GONZÁLEZ,MARILYN TATIANA SALGUERO ROLDAN,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),GUATEMALA ORIENTE,23323279,
00-10-0026-46,01-405,GUATEMALA,ZONA 10,INSTITUTO PRIVADO MIXTO OCUPACIONAL EXPERIMENTAL CAMPERO,1A. AVENIDA 9-23,BLANCA SARAI GUTIERREZ PINEDA,ANNABELLA CORDÓN CAMPOS,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),GUATEMALA ORIENTE,22699550,
00-10-0038-46,01-503,GUATEMALA,ZONA 10,COLEGIO ALTAMIRA,13 CALLE 6-24 ZONA 10 CIUDAD DE GUATEMALA,NANCY CAROLINA NAVAS GONZÁLEZ,ALBA MARICELA JOR PORTILLO,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),GUATEMALA ORIENTE,59464229,
00-10-0041-46,01-405,GUATEMALA,ZONA 10,INSTITUTO PRIVADO MIXTO OCUPACIONAL EXPERIMENTAL CAMPERO,1A. AVENIDA 9-23,BLANCA SARAI GUTIERREZ PINEDA,ANNABELLA CORDÓN CAMPOS,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,SIN JORNADA,SEMIPRESENCIAL (DOS DÍAS A LA SEMANA),GUATEMALA ORIENTE,22699550,
00-10-0046-46,01-503,GUATEMALA,ZONA 10,HAN AL INTERNACIONAL,15 CALLE 3-16,NANCY CAROLINA NAVAS GONZÁLEZ,BRENDA LIGIA ZIMERI GIRÓN,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),GUATEMALA ORIENTE,23140101,
00-10-0048-46,01-405,GUATEMALA,ZONA 10,COLEGIO VANGUARDIA GLOBAL,13 CALLE 6-91,BLANCA SARAI GUTIERREZ PINEDA,MÁRILYN TATIANA SALGUERO ROLDÁN,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,SIN JORNADA,A DISTANCIA,GUATEMALA ORIENTE,41224636,
00-10-0764-46,01-503,GUATEMALA,ZONA 10,COLEGIO LA ASUNCION,"7A AVENIDA 11-55, INTERIOR FINCA LAS MARGARITAS",NANCY CAROLINA NAVAS GONZÁLEZ,LILIAN ELIZETH GÓMEZ AQUINO,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),GUATEMALA ORIENTE,23889500,
00-10-0775-46,01-501,GUATEMALA,ZONA 10,MONTANO COLLEGE,6A AVE. 11-39,JULIO JACOBO GIL URBINA,MARIO ROMAN AGUILAR BURGOS,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),GUATEMALA ORIENTE,23261515,
00-10-3062-46,01-501,GUATEMALA,ZONA 10,COLEGIO CIUDAD VIEJA,9A CALLE 5-49,JULIO JACOBO GIL URBINA,MARÍA RAQUEL JIMÉNEZ ESTRADA,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,DOBLE,DIARIO(REGULAR),GUATEMALA ORIENTE,23314462,
00-10-8940-46,01-503,GUATEMALA,ZONA 10,CENTRO EDUCATIVO SUPERACION GALILEO,2A. AV. 10-43,NANCY CAROLINA NAVAS GONZÁLEZ,ERICKA BRISEIDA MILIAN CANTE,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),GUATEMALA ORIENTE,22053215,
00-11-0008-46,01-209,GUATEMALA,ZONA 11,COLEGIO EDUCACION EN LINEA,8A. AVENIDA 21-83,MIRIAM DEL CARMEN OROZCO HERNANDEZ,CARMEN MERCEDES ARCHILA SUY,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,DOBLE,A DISTANCIA,GUATEMALA SUR,30193053,
00-11-0010-46,01-210,GUATEMALA,ZONA 11,TECNICO EN MECANICA AUTOMOTRIZ,"22 CALLE, 7-81",DINIZ ORALIA MORALES MUÑOZ,YOLANDA NOJ TUQUER,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),GUATEMALA SUR,30477521,
00-11-0012-46,01-209,GUATEMALA,ZONA 11,INSTITUTO INDUSTRIAL CENTRAL GENERAL LAZARO CHACON GONZALEZ,"8A. AVENIDA 31-02, COLONIA LAS CHARCAS",MIRIAM DEL CARMEN OROZCO HERNANDEZ,EDGAR ENRIQUE ZAMORA ESPINOZA,DIVERSIFICADO,OFICIAL,URBANA,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),GUATEMALA SUR,22345703,
00-11-0016-46,01-641,GUATEMALA,ZONA 11,"CENTRO ESPECIALIZADO DE FORMACION PARA ADULTOS, CEFA","35 AVENIDA, 0-45, COLONIA TOLEDO",MILTON ALONSO ALVAREZ FUENTES,LESVIA LILIANA CHACATE TICURÚ,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,DOBLE,FIN DE SEMANA,GUATEMALA SUR,24964444,
00-11-0019-46,01-210,GUATEMALA,ZONA 11,COLEGIO PANAMERICANO NO. 6,"35 AVENIDA 0-45, PLAZA HELVETIA",DINIZ ORALIA MORALES MUÑOZ,LESVIA LILIANA CHACATE TICURÚ,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),GUATEMALA SUR,24964444,
00-11-0036-46,01-210,GUATEMALA,ZONA 11,COLEGIO PANAMERICANO NO. 6,"35 AVENIDA 0-45, PLAZA HELVETIA",DINIZ ORALIA MORALES MUÑOZ,LESVIA LILIANA CHACATE TICURÚ,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),GUATEMALA SUR,24964444,
00-11-0044-46,01-209,GUATEMALA,ZONA 11,COLEGIO TECNOLOGICO AMERICANO AMERITEC,"39 CALLE 10-91, LAS CHARCAS, AVENIDA FINAL",MIRIAM DEL CARMEN OROZCO HERNANDEZ,MARÍA ANDREA RUÍZ HERRERA,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),GUATEMALA SUR,23242800,
00-11-0068-46,01-640,GUATEMALA,ZONA 11,CEEX-FORT LIC. ELISEO DANIEL ALVAREZ NATARENO,51 CALLE 4-96 COLONIA CASTAÑAS ZONA 11,ELISEO DANIEL ALVAREZ NATARENO,LUIS ALFREDO ROJAS ROJAS,DIVERSIFICADO,OFICIAL,URBANA,ABIERTA,MONOLINGUE,DOBLE,A DISTANCIA,GUATEMALA SUR,41206441,
00-11-0071-46,01-210,GUATEMALA,ZONA 11,COLEGIO PANAMERICANO NO. 6,"35A. AVENIDA 0-45, PLAZA HELVETIA",DINIZ ORALIA MORALES MUÑOZ,LESVIA LILIANA CHACATE TICURÚ,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,VIRTUAL A DISTANCIA,GUATEMALA SUR,45655822,
00-11-0076-46,01-210,GUATEMALA,ZONA 11,COLEGIO PANAMERICANO NO. 6,"35A. AVENIDA 0-45, PLAZA HELVETIA",DINIZ ORALIA MORALES MUÑOZ,LESVIA LILIANA CHACATE TICURÚ,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,VIRTUAL A DISTANCIA,GUATEMALA SUR,56874884,
00-11-0078-46,01-641,GUATEMALA,ZONA 11,INSTITUTO PARTICULAR MIXTO NOCTURNO LIC. EMILIO ARENALES CATALAN,2A. AVENIDA 4-21,MILTON ALONSO ALVAREZ FUENTES,SILVIA PATRICIA CATALAN SANCHEZ,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,SIN JORNADA,SEMIPRESENCIAL (FIN DE SEMANA),GUATEMALA SUR,24723222,
00-11-0080-46,01-209,GUATEMALA,ZONA 11,COLEGIO EDUCACION EN LINEA,8A. AVENIDA 21-83,MIRIAM DEL CARMEN OROZCO HERNANDEZ,CARMEN MERCEDES ARCHILA SUY,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,SIN JORNADA,A DISTANCIA,GUATEMALA SUR,30193053,
00-11-0082-46,01-641,GUATEMALA,ZONA 11,"CENTRO ESPECIALIZADO DE FORMACION PARA ADULTOS, CEFA","35 AVENIDA, 0-45, COLONIA TOLEDO",MILTON ALONSO ALVAREZ FUENTES,LESVIA LILIANA CHACATE TICURÚ,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,SIN JORNADA,SEMIPRESENCIAL (FIN DE SEMANA),GUATEMALA SUR,56874884,
00-11-0085-46,01-209,GUATEMALA,ZONA 11,COLEGIO TECNOLOGICO AMERICANO AMERITEC,"39A. CALLE 10-91, LAS CHARCAS",MIRIAM DEL CARMEN OROZCO HERNANDEZ,MARÍA ANDREA RUÍZ HERRERA,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,SEMIPRESENCIAL,GUATEMALA SUR,23242800,
00-11-0088-46,01-209,GUATEMALA,ZONA 11,COLEGIO TECNOLOGICO AMERICANO AMERITEC,"39A. CALLE 10-91, LAS CHARCAS",MIRIAM DEL CARMEN OROZCO HERNANDEZ,MARÍA ANDREA RUÍZ HERRERA,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,VIRTUAL A DISTANCIA,GUATEMALA SUR,23242800,
00-11-0091-46,01-640,GUATEMALA,ZONA 11,"CEEX - SECRETARIA DE BIENESTAR SOCIAL DE LA PRESIDENCIA DE LA REPUBLICA, SEDE COLONIA LAS CHARCAS",32A. CALLE 9-34,ELISEO DANIEL ALVAREZ NATARENO,SUSAN GLORIANA SALAZAR FIGUEROA,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,DOBLE,SEMIPRESENCIAL,GUATEMALA SUR,42209306,
00-11-0097-46,01-641,GUATEMALA,ZONA 11,COLEGIO CRECEMOS+,"30 AVENIDA 9-96 ZONA 11 GUATEMALA, GUATEMALA",MILTON ALONSO ALVAREZ FUENTES,KARLA NOEMÍ ALVAREZ FLORES,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,SIN JORNADA,A DISTANCIA,GUATEMALA SUR,25093547,
00-11-0847-46,01-209,GUATEMALA,ZONA 11,COLEGIO MIXTO BILINGUE EL PRADO,28 CALLE 7-58,MIRIAM DEL CARMEN OROZCO HERNANDEZ,JOSÉ DANIEL GARCÍA GODOY,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),GUATEMALA SUR,22046444,
00-11-0852-46,01-209,GUATEMALA,ZONA 11,CENTRO ESCOLAR EL ROBLE,11 AVE. SUR FINAL COLONIA LAS CHARCAS,MIRIAM DEL CARMEN OROZCO HERNANDEZ,CARLOS LEONEL CHIROY SANTOS,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),GUATEMALA SUR,23877000,
00-11-0853-46,01-209,GUATEMALA,ZONA 11,CENTRO ESCOLAR CAMPOALEGRE,35 CALLE Y 12 AVE. FINAL,MIRIAM DEL CARMEN OROZCO HERNANDEZ,ANGELA MARÍA MARTÍNEZ ORTÍZ,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),GUATEMALA SUR,23803900,
00-11-0854-46,01-209,GUATEMALA,ZONA 11,COLEGIO ALEMAN DE GUATEMALA,"DIAGONAL 21, 19-20",MIRIAM DEL CARMEN OROZCO HERNANDEZ,ESWIN NOE ROSALES LÓPEZ,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),GUATEMALA SUR,22683333,
00-11-0856-46,01-209,GUATEMALA,ZONA 11,COLEGIO MIXTO CAPOUILLIEZ,30 A. 7-77 Y 8-48 ZONA 11,MIRIAM DEL CARMEN OROZCO HERNANDEZ,SANDRA DEL CARMEN MÉRIDA MENCOS,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),GUATEMALA SUR,59180175,
00-11-0857-46,01-209,GUATEMALA,ZONA 11,COLEGIO ITALIANO DE GUATEMALA,CALZADA ROOSEVELT 35-83,MIRIAM DEL CARMEN OROZCO HERNANDEZ,CARLOS ERNESTO OCHOA SALGUERO,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),GUATEMALA SUR,24394784,
00-11-0861-46,01-209,GUATEMALA,ZONA 11,INSTITUTO PARTICULAR MIXTO NOCTURNO LIC. EMILIO ARENALES CATALAN,2A AVE. 4-21 ZONA 11,MIRIAM DEL CARMEN OROZCO HERNANDEZ,SILVIA PATRICIA CATALAN SANCHEZ,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),GUATEMALA SUR,40900292,
00-11-2272-46,01-209,GUATEMALA,ZONA 11,COLEGIO SAN JORGE CENTRO EDUCATIVO DE DESARROLLO INDIVIDUAL,9A CALLE B 22-84 RESIDENCIALES SAN JORGE,MIRIAM DEL CARMEN OROZCO HERNANDEZ,DINA SENAIDA TIU RAMÍREZ,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),GUATEMALA SUR,24736913,
00-11-2803-46,01-209,GUATEMALA,ZONA 11,COLEGIO BILINGUE MONTE AMERICANO,18 AVE 9-36 COLONIA MIRAFLORES,MIRIAM DEL CARMEN OROZCO HERNANDEZ,CLAUDIA MAGDALENA CASTAÑAZA,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),GUATEMALA SUR,24728863,
00-11-8254-46,01-209,GUATEMALA,ZONA 11,INSTITUTO PARTICULAR MIXTO NOCTURNO LIC. EMILIO ARENALES CATALAN,2A. AVENIDA 4-41,MIRIAM DEL CARMEN OROZCO HERNANDEZ,SILVIA PATRICIA CATALAN SANCHEZ,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),GUATEMALA SUR,50007522,
00-11-8429-46,01-209,GUATEMALA,ZONA 11,COLEGIO SANTA TERESITA,22 CALLE 13-31,MIRIAM DEL CARMEN OROZCO HERNANDEZ,VIOLETA DEL ALBA NAVARRO OROZCO,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),GUATEMALA SUR,24933232,
00-11-8547-46,01-209,GUATEMALA,ZONA 11,COLEGIO MIXTO EURO AMERICANO,17A. AVENIDA 26-46 COLONIA LASCHARCAS,MIRIAM DEL CARMEN OROZCO HERNANDEZ,LUISA ILEANA PELLECER CRUZ,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),GUATEMALA SUR,30476028,
00-11-9633-46,01-209,GUATEMALA,ZONA 11,COLEGIO ITALIANO DE GUATEMALA,CALZADA ROOSEVELT 35-83,MIRIAM DEL CARMEN OROZCO HERNANDEZ,CARLOS ERNESTO OCHOA SALGUERO,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,DOBLE,DIARIO(REGULAR),GUATEMALA SUR,24394784,
00-12-0031-46,01-211,GUATEMALA,ZONA 12,LICEO EDUCATIVO MAYA B,"4AV. 15-08, COLONIA LA REFORMITA",ADRIANA FABIOLA BOLAÑOS ESTRADA,XIOMARA SUCELY GARCIA OLIVAREZ,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),GUATEMALA SUR,24745452,
00-12-0044-46,01-210,GUATEMALA,ZONA 12,COLEGIO DE INFORMATICA IMB-PC NO. 2,AVENIDA PETAPA 30-64,DINIZ ORALIA MORALES MUÑOZ,BRENDA FELICITA BOBADILLA ROCA,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,DOBLE,DIARIO(REGULAR),GUATEMALA SUR,23043211,
00-12-0048-46,01-211,GUATEMALA,ZONA 12,LICEO CANADIENSE SOCIEDAD ANONIMA,"DIAGONAL 19, AVENIDA PETAPA, 40-54",ADRIANA FABIOLA BOLAÑOS ESTRADA,ROSAURA GUDIEL ROSALES,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),GUATEMALA SUR,23750070,
00-12-0049-46,01-211,GUATEMALA,ZONA 12,LICEO CANADIENSE SOCIEDAD ANONIMA,"DIAGONAL 19, AVENIDA PETAPA, 40-54",ADRIANA FABIOLA BOLAÑOS ESTRADA,ROSAURA GUDIEL ROSALES,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),GUATEMALA SUR,23750070,
00-12-0051-46,01-641,GUATEMALA,ZONA 12,LICEO CANADIENSE SOCIEDAD ANONIMA,"DIAGONAL 19, AVENIDA PETAPA, 40-54",MILTON ALONSO ALVAREZ FUENTES,ROSAURA GUDIEL ROSALES,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,DOBLE,FIN DE SEMANA,GUATEMALA SUR,23750070,
00-12-0052-46,01-641,GUATEMALA,ZONA 12,LICEO CANADIENSE SOCIEDAD ANONIMA,"DIAGONAL 19, AVENIDA PETAPA, 40-54",MILTON ALONSO ALVAREZ FUENTES,ROSAURA GUDIEL ROSALES,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,DOBLE,FIN DE SEMANA,GUATEMALA SUR,23750070,
00-12-0055-46,01-211,GUATEMALA,ZONA 12,LICEO CANADIENSE SOCIEDAD ANONIMA,"DIAGONAL 19, AVENIDA PETAPA, 40-54",ADRIANA FABIOLA BOLAÑOS ESTRADA,ISABEL CRISTINA BALCAZAR VASQUEZ,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),GUATEMALA SUR,23750070,
00-12-0056-46,01-211,GUATEMALA,ZONA 12,LICEO CANADIENSE SOCIEDAD ANONIMA,"DIAGONAL 19, AVENIDA PETAPA, 40-54",ADRIANA FABIOLA BOLAÑOS ESTRADA,ISABEL CRISTINA BALCAZAR VASQUEZ,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),GUATEMALA SUR,23750070,
00-12-0058-46,01-210,GUATEMALA,ZONA 12,COLEGIO PANAMERICANO NO. 3,45 CALLE 19-05 ZONA 12 GUATEMALA,DINIZ ORALIA MORALES MUÑOZ,LUISA FERNANDA FAJARDO MARMOL,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),GUATEMALA SUR,24420778,
00-12-0060-46,01-211,GUATEMALA,ZONA 12,LICEO CANADIENSE SOCIEDAD ANONIMA,"DIAGONAL 19, AVENIDA PETAPA, 40-54",ADRIANA FABIOLA BOLAÑOS ESTRADA,ROSAURA GUDIEL ROSALES,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,DOBLE,DIARIO(REGULAR),GUATEMALA SUR,23750070,
00-12-0062-46,01-210,GUATEMALA,ZONA 12,INSTITUTO LA ESCUELA EN SU CASA,"21 AVENIDA 33-58, COLONIA SANTA ELISA",DINIZ ORALIA MORALES MUÑOZ,FAUSTO CÉSAR BARRIENTOS CANO,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),GUATEMALA SUR,24760053,
00-12-0064-46,01-210,GUATEMALA,ZONA 12,LICEO NAZARENO,25 AVENIDA 53-64 COLONIA MORSE,DINIZ ORALIA MORALES MUÑOZ,FRANCISCO REVOLORIO LOPEZ,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,DOBLE,DIARIO(REGULAR),GUATEMALA SUR,54429209,
00-12-0072-46,01-210,GUATEMALA,ZONA 12,LICEO INTEGRAL MILENIUM,"4TA. CALLE 1-41, COLONIA CIUDAD REAL I",DINIZ ORALIA MORALES MUÑOZ,DOLORES GODOY MARIN,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),GUATEMALA SUR,24793754,
00-12-0076-46,01-211,GUATEMALA,ZONA 12,LICEO COMPUTEX,"5TA. AVENIDA 21-77, LA REFORMITA",ADRIANA FABIOLA BOLAÑOS ESTRADA,CARMEN REYES ARÉVALO,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),GUATEMALA SUR,24745556,
00-12-0077-46,01-211,GUATEMALA,ZONA 12,COLEGIO PRIVADO MIXTO 12 DE OCTUBRE,"10A. AVENIDA 15-71, COLONIA REFORMITA",ADRIANA FABIOLA BOLAÑOS ESTRADA,HUGO VALDEMAR CIFUENTES SALGUERO,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),GUATEMALA SUR,24730788,
00-12-0078-46,01-211,GUATEMALA,ZONA 12,COLEGIO MAHANAIM C.E.F.E.A.,"12 AVENIDA, 21-61",ADRIANA FABIOLA BOLAÑOS ESTRADA,MARIZA MARIELA RODAS FUENTES,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),GUATEMALA SUR,22692402,
00-12-0088-46,01-641,GUATEMALA,ZONA 12,LICEO COMPUTEX,"5A. AVENIDA 21-77, ZONA 12, LA REFORMITA",MILTON ALONSO ALVAREZ FUENTES,GENCIS YOHANA SOLÍS ORTIZ,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,DOBLE,FIN DE SEMANA,GUATEMALA SUR,22142346,
00-12-0089-46,01-211,GUATEMALA,ZONA 12,LICEO COMPUTEX,"5A. AVENIDA 21-77, ZONA 12, LA REFORMITA",ADRIANA FABIOLA BOLAÑOS ESTRADA,GENCIS YOHANA SOLÍS ORTIZ,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),GUATEMALA SUR,24745556,
00-12-0102-46,01-411,GUATEMALA,ZONA 12,INSTITUTO DE EDUCACION A DISTANCIA LA ESCUELA EN SU CASA,"21A. AVENIDA. 33-58, COLONIA SANTA ELISA ZONA 12",JUAN ENRIQUE MARTINEZ SOLANO,ISABEL CRISTINA BALCAZAR VÁSQUEZ,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,A DISTANCIA,GUATEMALA SUR,23873100,
00-12-0103-46,01-211,GUATEMALA,ZONA 12,LICEO MIXTO JUAN APOSTOL,"4 AVENIDA 11-52 ZONA 12, COLONIA LA REFORMITA",ADRIANA FABIOLA BOLAÑOS ESTRADA,MAURI LUCÍA PÉREZ IXCAYA,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),GUATEMALA SUR,24712442,
00-12-0111-46,01-640,GUATEMALA,ZONA 12,CENTRO DE EDUCACION EXTRAESCOLAR SINTUSAC,"CIUDAD UNIVERSITARIA, UNIVERSIDAD DE SAN CARLOS EDIFICIO ANTIGUO DE CALUSAC, SALÓN 5 1089",ELISEO DANIEL ALVAREZ NATARENO,GUADALUPE VÁSQUEZ LÓPEZ,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,DOBLE,DIARIO(REGULAR),GUATEMALA SUR,49150469,
00-12-0114-46,01-210,GUATEMALA,ZONA 12,LICEO NAZARENO,43A. CALLE 19-35 COLONIA LA COLINA,DINIZ ORALIA MORALES MUÑOZ,FRANCISCO REVOLORIO LÓPEZ,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),GUATEMALA SUR,55832921,
00-12-0115-46,01-210,GUATEMALA,ZONA 12,LICEO NAZARENO,43A. CALLE 19-35 COLONIA LA COLINA,DINIZ ORALIA MORALES MUÑOZ,FRANCISCO REVOLORIO LÓPEZ,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,DOBLE,DIARIO(REGULAR),GUATEMALA SUR,41719605,
00-12-0116-46,01-210,GUATEMALA,ZONA 12,LICEO NAZARENO,43A. CALLE 19-35 COLONIA LA COLINA,DINIZ ORALIA MORALES MUÑOZ,FRANCISCO REVOLORIO LÓPEZ,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,DOBLE,FIN DE SEMANA,GUATEMALA SUR,22149922,
00-12-0117-46,01-635,GUATEMALA,ZONA 12,COLEGIO EL MUNDO DE LOS NINOS (KIDS WORLD),"24 AVENIDA LOTE NO. 24 Y 24 AVENIDA ""A"" LOTES 50 Y 51, COLONIA MORSE",NATALY FABIOLA SOTO ESPAÑA DE TURCIOS,MARYSOL MEDINA LEMUS,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),GUATEMALA SUR,59172006,
00-12-0118-46,01-211,GUATEMALA,ZONA 12,LICEO MIXTO JUAN APOSTOL,4A. AVENIDA 11-52 ZONA 12,ADRIANA FABIOLA BOLAÑOS ESTRADA,MAURI LUCÍA PÉREZ IXCAYA,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),GUATEMALA SUR,24712442,
00-12-0119-46,01-640,GUATEMALA,ZONA 12,"PROGRAMA NACIONAL DE EDUCACION ALTERNATIVA, PRONEA","AVENIDA PETAPA 47-79, ZONA 12, PLAZA GRECIA",ELISEO DANIEL ALVAREZ NATARENO,ELISEO DANIEL ALVAREZ NATARENO,DIVERSIFICADO,OFICIAL,URBANA,ABIERTA,MONOLINGUE,DOBLE,A DISTANCIA,GUATEMALA SUR,24628700,
